Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
89231,Augustus,John  Williams,"Williams, John",,"=""1400076730""","=""9781400076734""",0,4.23,Vintage,Paperback,336,2004,1972,,2022/08/23,to-read,to-read (#150),to-read,,,,0,0
480570,"The First Man in Rome (Masters of Rome, #1)",Colleen McCullough,"McCullough, Colleen",,"=""0380710811""","=""9780380710812""",0,4.12,Avon,Paperback,1076,1991,1990,,2022/08/23,to-read,to-read (#149),to-read,,,,0,0
8719,Julian,Gore Vidal,"Vidal, Gore",,"=""""","=""""",0,4.21,Vintage,Paperback,528,2003,1964,,2022/08/23,to-read,to-read (#148),to-read,,,,0,0
18765,"I, Claudius (Claudius, #1)",Robert Graves,"Graves, Robert",,"=""067972477X""","=""9780679724773""",0,4.24,Vintage,Paperback,468,1989,1934,,2022/08/23,to-read,to-read (#147),to-read,,,,0,0
54427153,"Take More Vacations: How to Search Better, Book Cheaper, and Travel the World",Scott Keyes,"Keyes, Scott",,"=""0062993542""","=""9780062993540""",5,4.02,Harper Wave,Paperback,304,2021,,,2021/12/11,,,read,,,,1,0
23522,Mythology,Edith Hamilton,"Hamilton, Edith",Steele Savage,"=""0316341517""","=""9780316341516""",0,4.02,"Little, Brown and Company",Paperback,497,1998,1942,,2022/08/21,to-read,to-read (#146),to-read,,,,0,0
45731395,The Deficit Myth: Modern Monetary Theory and the Birth of the People's Economy,Stephanie Kelton,"Kelton, Stephanie",,"=""1541736184""","=""9781541736184""",0,4.08,PublicAffairs,Hardcover,336,2020,2020,,2022/08/21,to-read,to-read (#145),to-read,,,,0,0
354865,Catholicism: The Story of Catholic Christianity,Gerald O'Collins,"O'Collins, Gerald",Mario Farrugia,"=""019925995X""","=""9780199259953""",0,3.97,"Oxford University Press, USA",Paperback,409,2004,2003,,2022/08/21,to-read,to-read (#144),to-read,,,,0,0
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez, W.K. Marriott, Denis Daly, Μαρία Κασωτάκη","=""0937832383""","=""9780937832387""",0,3.83,Dante University of America Press,Paperback,140,2003,1513,,2022/08/21,to-read,to-read (#143),to-read,,,,0,0
630406,Cesare Borgia: His Life and Times,Sarah Bradford,"Bradford, Sarah",,"=""1842124528""","=""9781842124529""",0,4.28,Phoenix,Paperback,336,2001,1976,,2022/08/21,to-read,to-read (#142),to-read,,,,0,0
